bed_type,occupancy_rate,total_beds,queue_count_for_type,hour_of_day,wait_for_bed
2,0.73,52,1,17,98
3,0.58,6,2,19,126
0,0.38,10,7,12,100
2,0.83,32,11,7,155
2,0.72,57,0,8,85
3,0.25,33,9,15,118
0,0.92,30,19,18,207
0,0.84,29,2,15,78
2,0.95,16,5,6,154
1,0.75,9,6,13,148
2,0.65,38,19,13,182
2,0.48,52,17,3,148
2,0.94,41,10,14,154
2,0.88,19,18,2,206
3,0.14,48,4,4,83
0,0.12,40,18,0,118
3,0.44,19,10,2,144
3,0.83,47,11,14,179
3,0.99,52,9,23,205
2,0.24,27,7,7,69
1,0.63,10,8,3,153
0,0.44,50,3,1,56
1,0.97,54,4,23,165
3,0.86,48,7,23,158
3,0.85,47,8,9,182
1,0.52,49,14,3,164
1,0.47,25,14,2,162
1,0.35,27,15,1,146
3,0.15,47,13,16,133
3,0.88,59,7,22,154
0,0.83,20,17,20,184
0,1.0,51,9,23,168
3,1.0,57,19,19,283
1,0.6,19,5,22,104
1,0.79,29,11,12,159
0,0.95,40,1,4,117
3,0.86,15,6,20,150
0,0.32,55,15,8,124
0,0.51,19,2,21,55
2,0.22,8,12,5,121
2,0.96,25,2,4,133
2,0.65,17,17,9,180
1,0.31,26,10,7,119
3,0.7,23,7,6,142
3,0.66,38,5,6,126
3,0.42,18,0,5,77
3,0.2,8,0,20,79
2,0.7,52,7,19,124
1,0.57,57,4,2,98
1,0.8,56,15,18,197
2,0.57,50,10,21,116
1,0.87,31,4,14,131
2,0.6,33,3,3,84
3,0.6,51,5,11,122
2,0.89,32,13,5,164
3,0.46,39,18,18,193
3,0.22,12,8,3,125
0,0.13,20,11,14,84
2,0.78,46,10,8,145
0,0.66,40,13,4,140
2,0.73,34,15,12,155
2,0.29,22,0,22,33
0,0.22,6,12,17,115
0,0.11,53,12,4,77
2,0.42,17,1,15,49
1,0.63,8,3,18,119
3,0.45,30,5,13,112
0,0.49,29,4,15,67
3,0.91,34,2,14,123
1,0.41,15,0,21,51
1,0.56,11,3,3,105
1,0.81,35,19,6,214
0,0.46,48,1,15,34
1,0.66,14,4,23,121
0,0.88,43,2,21,89
1,0.95,17,8,20,195
3,0.23,35,19,21,173
3,0.93,11,5,20,171
2,0.54,53,17,7,161
3,0.33,46,5,16,89
2,0.51,46,18,15,168
3,0.98,40,11,22,225
0,0.54,24,10,9,119
3,0.4,8,1,9,125
2,0.67,58,14,1,144
2,0.32,11,11,8,136
1,0.17,58,11,16,105
0,0.22,5,8,10,92
3,0.22,48,1,9,74
1,0.24,49,2,21,56
3,0.22,46,11,16,123
3,0.68,51,15,3,193
1,0.26,17,0,15,41
1,0.41,59,2,19,86
1,0.91,26,19,14,219
1,0.53,58,1,20,73
1,0.7,25,8,4,134
3,0.26,26,18,5,178
1,0.27,32,14,16,131
