queue_count,priority_code,hour_of_day,occupancy_rate,doctors_available,wait_time
38,0,20,0.21,5,453
28,0,6,0.4,8,333
14,0,17,0.41,8,169
42,1,3,0.26,2,500
7,0,1,0.97,7,94
20,1,13,0.58,8,230
38,1,12,0.92,6,457
18,2,11,0.46,5,203
22,3,6,0.3,9,218
10,3,1,0.58,3,88
10,1,12,0.29,4,114
23,2,13,0.59,9,258
35,1,16,0.94,6,422
39,1,8,0.62,8,469
23,1,16,0.69,7,271
2,2,7,0.33,2,10
21,3,1,0.23,3,223
1,2,23,0.29,1,12
23,0,12,0.68,9,280
43,2,2,0.28,7,487
29,2,15,0.5,1,339
37,2,5,0.64,3,440
1,2,18,0.51,4,19
20,3,6,0.33,4,211
32,0,9,0.42,5,394
11,3,8,0.94,3,125
21,3,1,0.74,3,238
43,2,14,0.6,1,509
24,1,4,0.21,7,274
48,1,21,0.99,1,595
26,3,3,0.74,2,294
41,3,19,0.45,4,473
27,2,3,0.9,4,320
15,3,17,0.41,5,152
14,2,3,0.64,2,163
46,1,16,0.71,4,553
43,1,11,0.38,1,521
2,0,21,0.98,2,52
36,1,16,0.8,1,437
6,3,9,0.65,4,63
20,1,21,0.34,4,233
8,2,0,0.24,7,69
38,1,21,0.46,9,440
17,0,23,0.8,9,209
3,1,17,0.42,5,41
24,2,17,0.63,1,298
13,2,13,0.78,1,153
49,3,14,0.29,6,557
8,1,11,0.75,2,107
25,2,3,0.27,8,273
1,0,2,0.97,9,20
19,3,19,0.59,4,211
27,0,11,0.32,5,323
46,1,6,0.47,8,542
6,1,10,0.53,3,82
43,1,0,0.81,5,518
7,3,5,0.79,3,65
46,2,14,0.69,3,542
34,3,14,0.28,3,377
13,0,18,0.32,7,161
16,3,10,0.28,7,165
35,0,22,0.66,7,428
49,3,1,0.9,8,565
39,2,13,0.55,5,455
3,0,1,0.33,5,38
1,1,3,0.65,4,17
5,1,16,0.85,7,64
41,3,2,0.79,4,474
3,1,12,0.91,2,42
28,0,8,0.42,4,352
17,1,6,0.36,8,196
25,2,14,0.9,9,285
43,2,22,0.73,3,508
33,3,10,0.45,7,369
9,0,19,0.79,9,116
35,2,1,0.85,4,416
13,2,14,0.69,3,149
30,0,13,0.75,5,372
47,1,19,0.5,1,580
14,1,21,0.63,3,169
7,3,10,0.62,8,62
13,1,2,0.88,8,158
22,0,16,0.87,4,278
39,2,11,0.87,2,469
20,1,23,0.21,8,224
15,3,20,0.8,8,148
44,1,14,0.81,4,535
17,0,15,0.74,3,217
46,3,4,0.81,2,538
23,1,19,0.87,9,283
25,3,5,0.58,1,274
24,0,18,0.6,7,302
44,2,4,0.3,5,508
40,0,2,0.51,8,474
28,0,0,0.71,4,351
14,0,5,0.82,7,179
44,0,14,0.37,5,526
0,2,1,0.31,5,2
24,2,2,0.73,9,270
6,3,16,0.2,9,23
8,1,23,0.34,9,83
23,2,11,0.22,6,252
0,2,17,0.33,6,9
43,1,14,0.35,5,505
7,2,11,0.51,9,66
23,0,15,0.52,8,281
10,0,7,0.9,7,133
16,1,13,0.61,7,186
7,3,16,0.78,6,57
34,3,20,0.28,5,374
34,1,7,0.38,4,404
32,1,14,0.76,3,385
4,0,13,0.24,3,54
41,3,17,0.59,6,477
38,2,19,0.68,4,460
40,0,6,0.68,6,483
27,1,2,0.22,3,315
6,3,11,0.46,4,35
8,2,20,0.71,9,84
7,2,23,0.32,5,63
11,0,2,0.76,7,148
33,3,19,0.8,2,397
32,3,13,0.99,5,362
47,1,14,0.37,9,546
22,3,13,0.86,3,248
23,3,6,0.62,9,233
36,0,16,0.5,6,433
34,3,11,0.3,4,372
43,2,19,0.79,7,521
39,0,3,0.39,8,464
21,0,8,0.5,6,263
26,1,5,0.25,5,300
34,3,15,0.84,6,388
0,1,21,0.81,5,18
34,2,21,0.79,8,394
36,0,20,0.44,1,440
46,0,20,0.34,7,542
13,0,1,0.71,2,168
2,2,23,0.6,9,2
0,2,7,0.34,1,12
4,1,10,0.75,6,58
25,1,12,0.99,9,300
13,1,16,0.8,1,166
38,3,7,0.79,4,440
26,0,20,0.96,4,334
8,0,17,0.36,9,98
14,1,17,0.65,5,179
14,0,13,0.98,5,183
25,1,14,0.33,6,279
41,3,5,0.76,1,476
12,3,10,0.67,1,137
31,2,12,0.67,9,346
38,3,0,0.76,3,438
48,1,5,0.94,4,584
31,3,8,0.83,1,369
3,2,7,0.24,9,5
29,0,10,0.88,8,371
36,1,21,0.38,2,432
22,0,18,0.5,8,277
38,2,23,0.57,7,443
44,2,8,0.58,6,518
14,2,16,0.55,1,159
42,0,11,0.95,7,518
28,0,13,0.76,7,342
35,0,14,0.7,9,421
12,0,15,0.24,1,155
31,2,21,0.92,2,372
6,2,21,0.93,9,55
21,1,19,0.82,9,255
27,1,0,0.21,6,320
1,0,9,0.25,6,18
41,3,7,0.38,4,455
44,3,17,0.31,4,498
5,2,0,0.52,5,43
27,2,1,0.94,3,323
27,2,0,0.58,1,322
43,1,0,0.21,1,517
43,1,8,0.43,7,517
19,2,12,0.24,1,212
29,2,0,0.23,1,335
10,2,12,0.42,3,100
27,3,19,0.42,4,311
24,1,21,0.83,4,297
38,3,6,0.98,2,447
32,3,1,0.5,1,357
0,2,5,0.54,3,20
26,2,6,0.88,4,306
12,0,13,0.41,3,146
40,0,17,0.33,8,484
2,3,14,0.88,1,24
38,1,1,0.24,2,448
5,2,9,0.7,7,52
7,2,22,0.65,4,70
26,3,11,0.48,8,271
8,0,16,0.45,3,102
36,1,7,0.82,6,429
32,0,10,0.27,9,382
41,0,2,0.39,1,506
43,0,5,0.79,1,539
23,0,8,0.64,8,284
14,2,5,0.3,3,155
31,2,8,0.91,5,369
31,0,6,0.51,1,394
23,1,8,0.86,5,297
40,3,17,0.83,6,464
48,1,11,0.7,8,573
48,1,7,0.6,3,573
11,1,7,0.98,3,145
38,0,17,0.32,9,457
1,2,19,0.78,4,25
2,1,14,0.35,4,17
48,0,6,0.47,7,573
36,1,10,0.45,2,439
48,1,19,0.96,8,585
16,0,15,0.97,6,200
48,2,3,0.35,3,564
1,2,5,0.22,9,2
1,3,21,0.78,5,9
27,0,2,0.53,8,327
22,3,8,0.27,7,235
36,3,9,0.75,8,415
31,3,13,0.64,7,345
32,2,10,0.98,3,402
0,0,17,0.38,2,17
18,3,21,0.52,7,176
1,0,11,0.63,3,25
43,0,22,0.83,3,530
25,2,11,0.64,2,290
31,3,12,0.69,4,349
5,3,12,0.38,8,24
31,0,18,0.88,1,401
3,1,18,0.54,1,57
10,2,22,0.31,5,96
16,2,13,0.73,5,181
37,2,3,0.37,1,435
23,2,12,0.28,6,251
4,3,7,0.89,1,28
33,3,22,0.57,5,371
5,1,20,0.8,9,54
21,2,22,0.43,5,238
10,2,18,0.83,6,116
47,0,11,0.29,8,553
15,3,17,0.48,1,170
32,2,5,0.98,2,388
8,1,17,0.84,9,101
5,1,18,0.6,3,74
15,3,21,0.47,6,143
28,1,4,0.9,5,343
2,1,23,0.64,2,31
19,3,8,0.81,7,210
35,2,2,0.8,4,411
18,2,9,0.21,1,212
25,1,18,0.3,4,303
2,1,2,0.73,6,22
18,2,21,0.33,7,188
19,3,14,0.4,7,191
31,1,0,0.96,7,374
6,0,6,0.65,3,80
40,3,11,0.8,6,455
32,1,16,0.65,8,385
39,1,20,0.64,4,469
38,0,23,0.28,8,455
17,0,19,0.47,2,232
39,2,4,0.43,9,439
0,3,3,0.51,9,2
10,3,11,0.84,8,100
27,2,19,0.5,1,326
24,3,23,0.56,2,265
49,3,17,0.52,6,559
22,3,16,0.27,5,226
30,3,18,0.55,9,335
29,3,8,0.36,5,334
41,0,3,0.35,2,498
34,3,20,0.28,4,367
6,0,1,0.49,9,63
15,3,3,0.81,1,165
25,2,1,0.42,1,295
47,1,14,0.45,7,558
48,0,1,0.71,3,592
1,3,3,0.36,2,14
0,2,5,0.92,9,9
47,1,6,0.62,3,568
11,0,9,0.56,2,152
4,1,18,0.65,8,51
36,2,18,0.33,6,416
31,0,21,0.69,6,378
8,1,11,0.49,7,88
40,3,2,0.92,7,455
34,0,12,0.34,6,406
18,1,17,0.61,4,229
47,2,7,0.68,9,550
15,2,20,0.23,6,161
2,0,14,0.49,4,33
19,1,0,0.79,3,231
23,0,2,0.86,4,290
32,0,7,0.45,3,390
23,1,3,0.84,2,284
10,1,15,0.97,5,130
48,3,22,0.89,2,555
7,1,9,0.29,6,90
35,2,11,0.79,3,421
37,0,13,0.46,6,447
39,0,13,0.99,9,477
19,2,1,0.59,1,228
34,1,22,0.3,6,400
47,2,4,0.78,9,552
24,2,4,0.46,4,273
34,3,5,1.0,2,403
24,2,12,0.98,4,291
28,0,8,0.72,1,366
17,2,21,0.3,3,193
45,0,14,0.75,9,541
17,0,13,0.27,5,198
1,0,23,0.22,6,9
34,1,6,0.86,3,417
15,3,19,0.37,5,155
40,0,1,0.5,8,483
35,0,6,0.98,6,435
32,1,5,0.47,4,383
3,0,16,0.44,2,44
32,2,1,0.93,9,375
13,2,2,0.29,1,146
20,3,4,0.81,1,229
47,0,4,0.99,4,581
19,1,0,0.92,7,236
7,2,7,0.72,1,89
6,1,11,0.45,9,63
2,1,23,0.4,4,17
16,2,3,0.86,3,186
32,1,12,0.9,1,397
47,2,22,0.62,4,551
11,1,14,0.4,9,118
21,2,10,0.29,6,242
21,0,9,0.27,6,260
45,3,2,0.78,1,525
29,2,21,0.54,2,339
37,2,13,0.92,6,437
37,3,15,0.79,2,430
44,2,9,0.35,3,515
7,2,9,0.69,4,85
26,1,11,0.55,5,311
26,3,8,0.66,9,291
33,0,0,0.79,4,406
20,2,4,0.84,9,221
29,3,19,0.87,3,343
32,1,7,0.4,8,364
27,0,10,0.22,1,345
46,3,11,0.79,9,522
32,0,0,0.29,9,381
4,0,21,0.45,2,53
47,0,19,0.2,4,571
18,2,10,0.75,8,201
3,2,4,0.33,7,9
34,1,14,0.72,1,417
48,1,4,0.99,5,577
16,3,11,0.26,7,150
43,1,4,0.26,4,501
27,0,16,0.47,1,335
29,0,16,0.89,9,359
28,2,23,0.37,5,317
45,0,11,0.49,2,557
5,3,23,0.25,8,20
34,0,14,0.81,2,432
40,0,14,0.53,3,486
36,3,5,0.81,1,414
23,1,11,0.92,2,290
28,1,19,0.39,7,329
48,3,17,0.85,2,572
